Sampling_frequency_threshold,Methods,Accuracy,,,,,,,,,,
1,SVM,94.31204559,,,,,,,,,,
2,SVM,93.64265467,,,,,,,,,,
3,SVM,93.55837669,,,,,,,,,,
4,SVM,93.59444841,,,,,,,,,,
5,SVM,91.62993812,,,,,,,,,,
7,SVM,91.72762496,,,,,,,,,,
8,SVM,91.34010166,,,,,,,,,,
9,SVM,91.59826689,,,,,,,,,,
13,SVM,90.45015179,,,,,,,,,,
16,SVM,90.55299288,,,,,,,,,,
18,SVM,91.59039118,,,,,,,,,,
25,SVM,91.38407824,,,,,,,,,,
27,SVM,88.58423589,,,,,,,,,,
41,SVM,87.91269599,,,,,,,,,,
49,SVM,87.94316338,,,,,,,,,,
65,SVM,83.45181823,,,,,,,,,,
1,RF,97.60668683,,,,,,,,,,
2,RF,98.48134626,,,,,,,,,,
3,RF,98.32983994,,,,,,,,,,
4,RF,98.03060519,,,,,,,,,,
5,RF,94.96933332,,,,,,,,,,
7,RF,94.83519259,,,,,,,,,,
8,RF,94.48873116,,,,,,,,,,
9,RF,93.6545168,,,,,,,,,,
13,RF,91.60504523,,,,,,,,,,
16,RF,91.55518824,,,,,,,,,,
18,RF,93.47449222,,,,,,,,,,
25,RF,93.21786683,,,,,,,,,,
27,RF,91.10066743,,,,,,,,,,
41,RF,90.66305204,,,,,,,,,,
49,RF,91.48004069,,,,,,,,,,
65,RF,91.70951789,,,,,,,,,,
